Screen Name,Twitter ID,Tweet Count,Follower Count,Favorites Count,Friends Count,Name,Created,Language,Latitude,Longitude,Location,Party,Extension round
XavierGrobety,635394467,33,106,1,89,Xavier Grobéty,7/14/12 13:47,fr,46.9929793,6.9319325,Neuchatel,BDP,1
yannhulmann,295586466,16,25,0,124,Yann Hulmann,5/9/11 9:37,fr,46.9929793,6.9319325,Neuchatel,SP,1
S_Scheiwiller,98713837,22,26,0,11,Stefan Scheiwiller,12/22/09 20:32,de,47.6218605,9.1346197,Neuwilen,GLP,1
M_Roethlis,2186812110,36,74,0,45,Mario Röthlisberger,11/10/13 17:51,de,46.9267016,8.3849982,Nidwalden,CVP,1
david_bonny,131606659,0,74,0,19,David Bonny,4/10/10 19:49,fr,46.8005981,7.0255599,Noréaz,SP,1
TheDudeLebovski,1405836036,89,60,210,161,Michael Kaufmann,5/5/13 19:06,de,47.6247597,8.8275003,Nussbaumen,CVP,1
ps_nyon,819945576,4,84,1,192,PS Nyon,9/12/12 17:03,fr,46.3831924,6.2348564,Nyon,SP,1
vertslacote,2199390074,27,76,1,119,Les Verts de La Côte,11/17/13 11:48,fr,46.3831924,6.2348564,Nyon,GPS,1
AndyNiedermann,456048287,45,39,7,110,Andreas Niedermann,1/5/12 20:29,de,47.3570316,9.1122615,Oberhelfenschwil,CVP,1
andilanz,51548286,72,33,3,57,Andreas Lanz,6/27/09 20:35,de,46.9137063,7.3588998,Oberwangen,BDP,1
adrian_mangold,19505921,1286,404,12,334,Adrian Mangold,1/25/09 21:30,de,47.5159745,7.5582003,Oberwil,SP,1
ArenasGmuer,1567160101,84,32,63,112,Daniel Gmür Arenas,7/4/13 2:29,de,47.5159745,7.5582003,Oberwil,SP,1
funkytown63,245280187,587,160,50,100,Pia Fankhauser,1/31/11 9:29,de,47.5159745,7.5582003,Oberwil,SP,1
pemue01,318673604,35,109,0,123,Peter H. Müller,6/16/11 21:25,de,47.5159745,7.5582003,Oberwil,CVP,1
rumob,170854979,273,40,5,77,Rudolf Mohler,7/25/10 23:23,de,47.5159745,7.5582003,Oberwil,FDP,1
DinuBrunner,1323376063,0,3,0,7,Martin Brunner,4/2/13 22:09,de,47.2901,7.7161,Oensingen,SP,1
GloorFabian,490307551,3,17,0,24,Fabian Gloor,2/12/12 12:35,de,47.2901,7.7161,Oensingen,CVP,1
QRacine,99101734,889,441,8,1033,Quentin Racine,12/24/09 13:15,fr,46.2942259,6.9920794,Ollon,FDP,1
RodolpheAeberha,462371319,140,230,1,338,Rodolphe Aeberhard,1/12/12 21:57,fr,46.2942259,6.9920794,Ollon,SP,1
davidtschan,169180399,2096,107,1834,299,David Tschan,7/21/10 18:55,de,47.3499979,7.9023989,Olten,FDP,1
FDP_Olten,43755144,504,236,1,68,FDP Olten,5/31/09 21:01,de,47.3499979,7.9023989,Olten,FDP,1
joergmaeder,213039410,427,152,1,107,Jörg Mäder,11/7/10 20:00,de,47.4311116,8.5686028,Opfikon,GLP,1
rausisj,2304063785,102,137,3,254,joachim rausis,1/25/14 18:46,fr,46.0303899,7.1457499,Orsières,CVP,1
xfellay,1241949528,430,181,92,246,Xavier Fellay,3/4/13 18:45,fr,46.0303899,7.1457499,Orsières,CVP,1
HoppSchoop,208975633,38,140,31,452,Henrik Schoop,10/28/10 8:57,de,46.958396,7.4890325,Ostermundigen,FDP,1
retoschubnell,483712355,3480,149,343,308,Reto Schubnell,2/5/12 9:38,de,47.587547,9.085042,Ottoberg,BDP,1
uelifisch,444095399,1257,250,233,421,Ueli Fisch,12/22/11 21:58,de,47.587547,9.085042,Ottoberg,GLP,1
VincentArlettaz,236032810,4253,507,87,469,Vincent Arlettaz,1/9/11 17:03,fr,46.5057,6.67321,Paudex,FDP,1
LukaMarkic,371701398,962,270,603,556,Luka Markić,9/11/11 10:34,de,47.3667993,8.7847576,Pfäffikon,SP,1
Mircowi,303250865,12,19,11,91,Mirco Willi,5/22/11 15:04,de,47.516112,8.645423,Pfungen,FDP,1
